PRISM Time Series Data
Location:  Lat: 32.5439   Lon: -106.7945   Elev: 1321m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2020-08-05 - 2021-03-20
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-26
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2020-08-05,0.02,18.6,28.0,37.4
2020-08-06,0.79,19.8,28.5,37.3
2020-08-07,1.99,20.7,28.3,35.9
2020-08-08,0.00,18.1,25.6,33.2
2020-08-09,0.03,17.4,26.6,35.8
2020-08-10,0.00,18.4,27.5,36.5
2020-08-11,0.00,17.7,28.2,38.6
2020-08-12,0.00,18.1,28.6,39.0
2020-08-13,0.00,18.6,29.0,39.4
2020-08-14,2.62,20.1,29.7,39.3
2020-08-15,0.00,20.9,30.0,39.2
2020-08-16,0.00,20.6,29.7,38.7
2020-08-17,0.00,20.4,28.5,36.6
2020-08-18,0.07,15.3,25.0,34.6
2020-08-19,0.00,15.0,25.0,34.9
2020-08-20,0.00,15.7,26.1,36.5
2020-08-21,0.00,18.0,28.0,38.0
2020-08-22,0.00,18.0,28.0,38.0
2020-08-23,0.00,19.5,28.8,38.0
2020-08-24,3.25,17.4,27.6,37.7
2020-08-25,0.66,17.1,26.2,35.3
2020-08-26,0.00,16.4,25.4,34.4
2020-08-27,0.00,15.3,25.1,35.0
2020-08-28,0.00,15.9,26.2,36.5
2020-08-29,0.00,16.6,27.5,38.4
2020-08-30,0.00,23.1,30.3,37.6
2020-08-31,0.00,23.8,28.7,33.6
2020-09-01,0.00,19.9,26.9,33.8
2020-09-02,0.51,13.2,23.4,33.6
2020-09-03,0.00,12.2,23.0,33.7
2020-09-04,0.00,13.1,24.8,36.6
2020-09-05,0.00,17.8,26.9,36.1
2020-09-06,0.00,16.9,25.9,34.8
2020-09-07,0.00,16.0,25.0,34.0
2020-09-08,0.00,17.9,27.2,36.6
