PRISM Time Series Data
Location:  Lat: 31.5832   Lon: -110.7350   Elev: 1353m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2019-08-09 - 2019-11-12
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2019-08-09,3.42,18.2,25.4,32.6
2019-08-10,1.64,18.5,23.8,29.0
2019-08-11,9.74,16.6,19.7,22.9
2019-08-12,0.04,16.0,23.2,30.4
2019-08-13,0.00,15.2,23.7,32.1
2019-08-14,0.00,15.0,24.7,34.3
2019-08-15,0.00,15.2,25.1,34.9
2019-08-16,0.00,16.5,26.2,35.9
2019-08-17,0.72,15.4,24.8,34.2
2019-08-18,0.00,14.9,24.1,33.2
2019-08-19,0.00,15.3,24.5,33.7
2019-08-20,0.00,15.7,25.4,35.1
2019-08-21,0.00,14.5,26.1,37.6
2019-08-22,2.54,17.1,26.8,36.6
2019-08-23,4.45,16.0,25.1,34.2
2019-08-24,12.30,15.3,24.4,33.6
2019-08-25,0.81,15.7,22.5,29.2
2019-08-26,0.00,16.1,23.3,30.4
2019-08-27,0.00,17.5,25.3,33.1
2019-08-28,0.65,16.6,25.7,34.7
2019-08-29,9.33,17.1,25.4,33.7
2019-08-30,1.04,16.8,23.8,30.9
2019-08-31,2.88,16.5,24.6,32.8
2019-09-01,5.28,16.8,25.0,33.1
2019-09-02,2.02,16.2,24.3,32.4
2019-09-03,2.41,16.2,24.4,32.7
2019-09-04,0.67,15.5,24.2,32.8
2019-09-05,0.00,14.7,23.9,33.2
2019-09-06,0.00,13.9,23.4,32.9
2019-09-07,0.12,18.1,25.7,33.3
2019-09-08,11.65,17.6,24.9,32.1
2019-09-09,0.00,17.5,23.4,29.3
2019-09-10,0.00,16.9,23.3,29.6
2019-09-11,0.00,17.6,22.8,28.0
2019-09-12,0.00,15.3,22.0,28.8
2019-09-13,0.00,12.8,22.1,31.3
2019-09-14,1.37,13.1,22.9,32.8
2019-09-15,0.62,16.9,21.8,26.7
2019-09-16,5.18,13.2,20.6,28.0
2019-09-17,4.98,12.9,20.8,28.8
2019-09-18,0.00,12.5,20.9,29.4
2019-09-19,0.00,12.9,22.1,31.3
2019-09-20,0.00,13.6,22.4,31.3
2019-09-21,0.00,10.0,20.9,31.7
2019-09-22,0.00,14.6,23.0,31.5
2019-09-23,0.19,14.7,21.7,28.6
2019-09-24,11.09,12.6,20.7,28.8
2019-09-25,46.50,11.7,15.8,19.9
2019-09-26,6.58,11.4,17.4,23.4
2019-09-27,0.00,10.9,17.7,24.6
2019-09-28,0.00,10.7,18.2,25.6
2019-09-29,0.00,10.7,18.8,26.9
2019-09-30,0.00,9.3,18.4,27.6
2019-10-01,0.00,7.0,18.0,29.1
2019-10-02,0.00,6.4,16.5,26.6
2019-10-03,0.00,8.8,18.1,27.4
2019-10-04,0.00,10.6,19.4,28.2
2019-10-05,0.00,14.9,21.2,27.5
2019-10-06,0.00,10.7,19.4,28.2
2019-10-07,0.00,9.8,19.2,28.6
2019-10-08,0.00,9.6,20.1,30.5
2019-10-09,0.00,9.4,19.2,29.1
2019-10-10,0.00,9.3,18.1,26.9
2019-10-11,0.00,5.6,15.9,26.3
2019-10-12,0.00,4.3,15.4,26.5
2019-10-13,0.00,5.2,15.8,26.4
2019-10-14,0.00,5.1,15.8,26.5
2019-10-15,0.00,6.7,16.1,25.5
2019-10-16,0.00,9.0,17.7,26.5
2019-10-17,0.00,7.9,17.9,27.9
2019-10-18,0.00,8.4,18.2,27.9
2019-10-19,0.00,2.9,13.2,23.4
2019-10-20,0.00,6.7,15.6,24.6
2019-10-21,0.00,2.3,13.2,24.1
2019-10-22,0.00,0.6,13.4,26.3
2019-10-23,0.00,3.6,15.2,26.8
2019-10-24,0.00,2.9,15.0,27.2
2019-10-25,0.00,3.8,14.9,26.0
2019-10-26,0.00,1.9,11.0,20.0
2019-10-27,0.00,0.1,13.0,25.8
2019-10-28,0.00,7.1,15.7,24.3
2019-10-29,0.00,-1.1,10.0,21.2
2019-10-30,0.00,-1.4,10.2,21.7
2019-10-31,0.00,-0.1,9.5,19.1
2019-11-01,0.00,1.1,10.9,20.8
2019-11-02,0.00,2.7,14.0,25.3
2019-11-03,0.00,5.9,15.5,25.1
2019-11-04,0.00,5.9,15.7,25.4
2019-11-05,0.00,5.7,15.7,25.7
2019-11-06,0.66,9.3,18.1,26.8
2019-11-07,0.39,7.4,16.2,24.9
2019-11-08,0.00,6.9,15.3,23.8
2019-11-09,0.00,8.0,15.5,23.1
2019-11-10,0.00,8.6,16.6,24.7
2019-11-11,0.00,10.0,17.2,24.4
2019-11-12,0.00,10.0,16.0,22.0
