PRISM Time Series Data
Location:  Lat: 34.2247   Lon: -116.1072   Elev: 606m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2020-03-13 - 2020-04-29
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2020-03-13,28.26,6.8,10.8,14.9
2020-03-14,0.00,6.6,11.6,16.6
2020-03-15,0.00,6.3,12.8,19.2
2020-03-16,0.00,7.2,13.5,19.8
2020-03-17,0.00,6.4,12.8,19.3
2020-03-18,0.00,6.4,11.4,16.5
2020-03-19,1.53,4.0,7.2,10.5
2020-03-20,0.00,3.2,9.6,16.1
2020-03-21,0.00,3.6,9.9,16.1
2020-03-22,0.00,7.1,13.5,19.9
2020-03-23,0.00,8.5,15.2,21.9
2020-03-24,0.00,8.9,14.7,20.4
2020-03-25,0.00,7.5,14.4,21.4
2020-03-26,0.00,7.2,13.3,19.3
2020-03-27,0.00,5.9,10.5,15.1
2020-03-28,0.00,5.5,11.4,17.3
2020-03-29,0.00,4.3,11.8,19.4
2020-03-30,0.00,8.0,14.1,20.1
2020-03-31,0.00,8.3,15.8,23.4
2020-04-01,0.00,9.8,16.7,23.6
2020-04-02,0.00,12.7,20.9,29.0
2020-04-03,0.00,10.4,17.2,24.0
2020-04-04,0.00,9.2,16.8,24.4
2020-04-05,0.00,9.9,17.2,24.4
2020-04-06,0.00,9.9,16.9,23.8
2020-04-07,0.00,10.4,15.4,20.3
2020-04-08,14.59,10.0,13.0,16.1
2020-04-09,10.77,5.2,9.2,13.2
2020-04-10,4.12,6.0,10.4,14.8
2020-04-11,9.85,8.8,10.9,12.9
2020-04-12,0.47,9.8,16.0,22.1
2020-04-13,0.00,10.0,17.4,24.7
2020-04-14,0.00,13.3,18.8,24.4
2020-04-15,0.00,9.8,16.2,22.5
2020-04-16,0.00,9.6,18.2,26.8
2020-04-17,0.00,10.7,19.3,27.9
2020-04-18,0.00,11.7,18.1,24.5
2020-04-19,0.00,10.9,17.2,23.4
2020-04-20,0.00,10.6,18.3,26.0
2020-04-21,0.00,12.9,19.7,26.5
2020-04-22,0.00,13.5,19.6,25.6
2020-04-23,0.00,14.9,23.0,31.2
2020-04-24,0.00,16.8,24.7,32.5
2020-04-25,0.00,16.8,25.2,33.5
2020-04-26,0.00,17.8,26.6,35.5
2020-04-27,0.00,18.2,27.2,36.3
2020-04-28,0.00,18.6,26.4,34.2
2020-04-29,0.00,18.7,27.5,36.4
